method,path,file,line
GET,/sentry-debug,backend/fastapi_app.py,398
POST,/api/v2/eom/nominations/suggest-category,backend/fastapi_app.py,626
POST,/api/v2/eom/nominations/submit,backend/fastapi_app.py,644
POST,/api/v2/eom/nominations/validate,backend/fastapi_app.py,792
POST,/api/v2/eom/nominations/batch-validate,backend/fastapi_app.py,823
GET,/api/v2/eom/nominations/cycle/{cycle_id},backend/fastapi_app.py,861
POST,/api/v2/eom/vote,backend/fastapi_app.py,918
GET,/api/v2/eom/winners/{cycle_id},backend/fastapi_app.py,975
POST,/api/v2/eom/rotation-rules/create,backend/fastapi_app.py,1034
PUT,/api/v2/eom/rotation-rules/{rule_id},backend/fastapi_app.py,1064
GET,/api/v2/eom/rotation-rules/cycle/{cycle_id},backend/fastapi_app.py,1095
POST,/api/v2/eom/rotation-rules/check-eligibility,backend/fastapi_app.py,1130
GET,/api/v2/eom/rotation-rules/eligible-nominees/{eom_cycle_id},backend/fastapi_app.py,1147
GET,/api/v2/eom/rotation-rules/ineligible-nominees/{eom_cycle_id},backend/fastapi_app.py,1183
POST,/api/v2/eom/rotation-rules/setup-defaults/{cycle_id},backend/fastapi_app.py,1205
GET,/api/v2/eom/rotation-rules/analytics/{cycle_id},backend/fastapi_app.py,1236
GET,/api/v2/eom/rotation-rules/nominee-history/{nominee_email},backend/fastapi_app.py,1259
GET,/api/v2/eom/rotation-rules/summary/{cycle_id},backend/fastapi_app.py,1276
POST,/api/v2/eom/rotation-rules/update-eligibility-flags/{eom_cycle_id},backend/fastapi_app.py,1291
GET,/api/v2/mre/assignments/{cycle_id},backend/fastapi_app.py,1311
POST,/api/v2/mre/evaluations/process,backend/fastapi_app.py,1377
GET,/api/v2/mre/evaluations/{cycle_id}/weighted-scores,backend/fastapi_app.py,1483
POST,/api/v2/bias/reports/generate,backend/fastapi_app.py,1517
GET,/api/v2/bias/reports/{cycle_id},backend/fastapi_app.py,1551
GET,/api/v2/bias/reports/{cycle_id}/target/{target_email},backend/fastapi_app.py,1563
GET,/api/v2/bias/analytics/{cycle},backend/fastapi_app.py,1579
POST,/api/v2/bias/ai/analyze-evaluation/{evaluation_id},backend/fastapi_app.py,1596
POST,/api/v2/bias/ai/analyze-evaluation/{evaluation_id},backend/fastapi_app.py,1621
POST,/api/v2/bias/360/context-aware-report/{cycle_id},backend/fastapi_app.py,1646
GET,/api/v2/bias/360/context-analysis/{cycle_id}/target/{email},backend/fastapi_app.py,1668
GET,/api/v2/bias/360/context-comparison/{cycle_id},backend/fastapi_app.py,1689
GET,/api/v2/bias/360/context-coverage/{cycle_id},backend/fastapi_app.py,1726
GET,/api/v2/scoring/academic-admin/{cycle_id}/score/{email},backend/fastapi_app.py,1763
GET,/api/v2/scoring/academic-admin/{cycle_id}/batch,backend/fastapi_app.py,1798
GET,/api/v2/scoring/academic-admin/{cycle_id}/compare,backend/fastapi_app.py,1829
GET,/api/v2/scoring/academic-admin/{cycle_id}/distribution,backend/fastapi_app.py,1855
GET,/api/v2/scoring/academic-admin/{cycle_id}/validate,backend/fastapi_app.py,1876
GET,/api/v2/scoring/academic-admin/weight-matrices,backend/fastapi_app.py,1897
GET,/api/v2/scoring/optimized/batch/{cycle_id},backend/fastapi_app.py,1922
GET,/api/v2/scoring/optimized/statistics/{cycle_id},backend/fastapi_app.py,1966
GET,/api/v2/scoring/optimized/compare/{cycle_id},backend/fastapi_app.py,1985
POST,/api/v2/reports/ceo/export,backend/fastapi_app.py,2005
GET,/api/v2/reports/ceo/{cycle_id},backend/fastapi_app.py,2192
GET,/api/v2/cycles,backend/fastapi_app.py,2241
POST,/api/v2/cycles,backend/fastapi_app.py,2263
PUT,/api/v2/cycles/{cycle_id},backend/fastapi_app.py,2315
GET,/api/v2/cycles/current,backend/fastapi_app.py,2363
GET,/api/v2/cycles/{cycle_id},backend/fastapi_app.py,2392
GET,/api/v2/people,backend/fastapi_app.py,2459
GET,/api/v2/people/{email},backend/fastapi_app.py,2495
GET,/api/v2/people/segment/{segment},backend/fastapi_app.py,2524
POST,/api/v2/people,backend/fastapi_app.py,2549
PUT,/api/v2/people/{email},backend/fastapi_app.py,2591
GET,/api/v2/health,backend/fastapi_app.py,2644
GET,/api/v2/health/simple,backend/fastapi_app.py,2650
