method,path,file,line
POST,/api/v2/eom/nominations/submit,frontend/src/lib/api.js,178
POST,/api/v2/eom/nominations/validate,frontend/src/lib/api.js,181
GET,/api/v2/eom/nominations/cycle/${cycleId},frontend/src/lib/api.js,185
POST,/api/v2/eom/vote,frontend/src/lib/api.js,188
GET,/api/v2/eom/winners/${cycleId},frontend/src/lib/api.js,191
GET,/api/v2/eom/rotation-rules/eligible-nominees/${cycleId},frontend/src/lib/api.js,194
GET,/api/v2/eom/rotation-rules/analytics/${cycleId},frontend/src/lib/api.js,197
POST,/api/v2/eom/nominations/suggest-category,frontend/src/lib/api.js,201
GET,/api/v2/eom/hall-of-fame,frontend/src/lib/api.js,209
GET,/api/v2/eom/diversity-tracking,frontend/src/lib/api.js,212
POST,/api/v2/eom/feedback,frontend/src/lib/api.js,215
GET,/api/v2/eom/cycles/${cycleId}/window-status,frontend/src/lib/api.js,218
GET,/api/v2/mre/assignments/${cycleId},frontend/src/lib/api.js,224
POST,/api/v2/mre/evaluations/process,frontend/src/lib/api.js,227
GET,/api/v2/mre/evaluations/${cycleId}/weighted-scores,frontend/src/lib/api.js,230
GET,/api/v2/mre/domains/${targetGroup},frontend/src/lib/api.js,233
POST,/api/v2/bias/reports/generate,frontend/src/lib/api.js,239
GET,/api/v2/bias/reports/${cycleId},frontend/src/lib/api.js,242
GET,/api/v2/bias/reports/${cycleId}/target/${email},frontend/src/lib/api.js,245
POST,/api/v2/bias/360/context-aware-report/${cycleId},frontend/src/lib/api.js,248
GET,/api/v2/dashboard/participation/${cycleId},frontend/src/lib/api.js,254
GET,/api/v2/dashboard/analytics/${cycleId},frontend/src/lib/api.js,257
GET,/api/v2/cycles,frontend/src/lib/api.js,263
GET,/api/v2/cycles/${id},frontend/src/lib/api.js,266
GET,/api/v2/cycles/current,frontend/src/lib/api.js,269
POST,/api/v2/cycles,frontend/src/lib/api.js,272
PUT,/api/v2/cycles/${id},frontend/src/lib/api.js,275
GET,/api/v2/people,frontend/src/lib/api.js,281
GET,/api/v2/people/${email},frontend/src/lib/api.js,284
GET,/api/v2/people/segment/${segment},frontend/src/lib/api.js,287
POST,/api/v2/people,frontend/src/lib/api.js,290
PUT,/api/v2/people/${encodeURIComponent(email)},frontend/src/lib/api.js,293
GET,/api/v2/staff/${email}/evaluation-status,frontend/src/lib/api.js,299
GET,/api/v2/staff/${email}/evaluators,frontend/src/lib/api.js,302
POST,/api/v2/staff/${email}/assign-evaluators,frontend/src/lib/api.js,305
PUT,/api/v2/staff/${email}/evaluators,frontend/src/lib/api.js,308
GET,/api/v2/evaluation-matrix/${cycleId},frontend/src/lib/api.js,314
GET,/api/v2/surveys,frontend/src/lib/api.js,319
GET,/api/v2/surveys/${id},frontend/src/lib/api.js,320
POST,/api/v2/surveys,frontend/src/lib/api.js,321
PUT,/api/v2/surveys/${id},frontend/src/lib/api.js,322
GET,/api/v2/surveys/${surveyId}/questions,frontend/src/lib/api.js,323
GET,/api/v2/surveys/${surveyId}/responses,frontend/src/lib/api.js,324
POST,/api/v2/surveys/responses,frontend/src/lib/api.js,325
GET,/api/v2/surveys/${surveyId}/analytics,frontend/src/lib/api.js,326
POST,/api/v2/survey/identity/preference,frontend/src/lib/api.js,331
POST,/api/v2/survey/identity/reveal,frontend/src/lib/api.js,332
GET,/api/v2/survey/identity/status/${userEmail},frontend/src/lib/api.js,333
POST,/api/v2/survey/identity/revoke-anonymity,frontend/src/lib/api.js,334
POST,/api/v2/survey/identity/conditional-reveal,frontend/src/lib/api.js,335
GET,/api/v2/survey/identity/conditional-reveal/check-triggers/${userEmail},frontend/src/lib/api.js,336
POST,/api/v2/survey/identity/conditional-reveal/execute/${userEmail},frontend/src/lib/api.js,337
GET,/api/v2/survey-templates/comprehensive,frontend/src/lib/api.js,342
GET,/api/v2/survey-templates/section/${category},frontend/src/lib/api.js,345
POST,/api/v2/survey/identity/preference,frontend/src/lib/api.js,352
GET,/api/v2/survey/identity/status/${userEmail},frontend/src/lib/api.js,353
POST,/api/v2/hybrid-identity/initialize-session,frontend/src/lib/api.js,360
POST,/api/v2/hybrid-identity/create-survey-session,frontend/src/lib/api.js,361
POST,/api/v2/hybrid-identity/submit-response,frontend/src/lib/api.js,362
POST,/api/v2/hybrid-identity/switch-mode,frontend/src/lib/api.js,363
POST,/api/v2/hybrid-identity/process-reveal-request,frontend/src/lib/api.js,372
GET,/api/v2/hybrid-identity/analyze-survey-data,frontend/src/lib/api.js,374
GET,/api/v2/admin/dashboard,frontend/src/lib/api.js,379
GET,/api/v2/admin/dashboard/overview-cards,frontend/src/lib/api.js,380
GET,/api/v2/admin/dashboard/real-time-metrics,frontend/src/lib/api.js,381
GET,/api/v2/admin/dashboard/identity-analytics,frontend/src/lib/api.js,382
POST,/api/v2/integration/hr/setup,frontend/src/lib/api.js,387
GET,/api/v2/integration/evaluation-bridge,frontend/src/lib/api.js,388
POST,/api/v2/integration/sync/staff,frontend/src/lib/api.js,389
POST,/api/v2/integration/sync/evaluation,frontend/src/lib/api.js,390
POST,/api/v2/system/setup,frontend/src/lib/api.js,395
GET,/api/v2/system/go-live-checklist,frontend/src/lib/api.js,396
POST,/api/v2/import/staff,frontend/src/lib/api.js,401
POST,/api/v2/import/eom-voters,frontend/src/lib/api.js,402
POST,/api/v2/import/eom-candidates,frontend/src/lib/api.js,403
POST,/api/v2/import/weight-matrix,frontend/src/lib/api.js,404
GET,/api/v2/analytics/participation/${cycleId},frontend/src/lib/api.js,409
GET,/api/v2/analytics/bias/${cycleId},frontend/src/lib/api.js,410
GET,/api/v2/analytics/eom/${cycleId},frontend/src/lib/api.js,411
GET,/api/v2/analytics/mre/${cycleId},frontend/src/lib/api.js,412
GET,/api/v2/audit-logs,frontend/src/lib/api.js,417
GET,/api/v2/notifications,frontend/src/lib/api.js,422
POST,/api/v2/notifications/${id}/read,frontend/src/lib/api.js,423
POST,/api/v2/notifications/read-all,frontend/src/lib/api.js,424
POST,/api/v2/notifications/mark-read,frontend/src/lib/api.js,425
GET,/api/v2/notifications/unread-count,frontend/src/lib/api.js,426
GET,/api/v2/objections,frontend/src/lib/api.js,431
GET,/api/v2/objections/${id},frontend/src/lib/api.js,432
POST,/api/v2/objections,frontend/src/lib/api.js,433
POST,/api/v2/objections/${id}/resolve,frontend/src/lib/api.js,434
GET,/api/v2/announcements,frontend/src/lib/api.js,439
GET,/api/v2/announcements/${id},frontend/src/lib/api.js,440
POST,/api/v2/announcements,frontend/src/lib/api.js,441
PUT,/api/v2/announcements/${id},frontend/src/lib/api.js,442
DELETE,/api/v2/announcements/${id},frontend/src/lib/api.js,443
GET,/api/v2/reports/ceo/${cycleId},frontend/src/lib/api.js,448
POST,/api/v2/reports/ceo/export,frontend/src/lib/api.js,449
GET,/api/v2/reports/bias/${cycleId},frontend/src/lib/api.js,450
GET,/api/v2/reports/participation/${cycleId},frontend/src/lib/api.js,451
GET,/api/v2/admin/settings,frontend/src/lib/api.js,456
PUT,/api/v2/admin/settings,frontend/src/lib/api.js,457
POST,/api/v2/admin/settings,frontend/src/lib/api.js,458
