schema,table,policy,command,roles,file,line
public,survey_conditional_reveals,survey_conditional_reveals_select,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,48
public,survey_conditional_reveals,survey_conditional_reveals_insert,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,54
public,survey_conditional_reveals,survey_conditional_reveals_update,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,59
public,survey_conditional_reveals,survey_conditional_reveals_delete,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,64
public,survey_conditional_reveals,survey_conditional_reveals_service_role_select,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,70
public,survey_conditional_reveals,survey_conditional_reveals_service_role_insert,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,75
public,survey_conditional_reveals,survey_conditional_reveals_service_role_update,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,80
public,survey_conditional_reveals,survey_conditional_reveals_service_role_delete,ALL,,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,86
public,hybrid_identity_sessions,hybrid_identity_sessions_select,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,26
public,hybrid_identity_sessions,hybrid_identity_sessions_insert,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,31
public,hybrid_identity_sessions,hybrid_identity_sessions_update,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,36
public,hybrid_identity_sessions,hybrid_identity_sessions_delete,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,41
public,hybrid_identity_sessions,hybrid_identity_sessions_service_role_select,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,47
public,hybrid_identity_sessions,hybrid_identity_sessions_service_role_insert,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,52
public,hybrid_identity_sessions,hybrid_identity_sessions_service_role_update,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,57
public,hybrid_identity_sessions,hybrid_identity_sessions_service_role_delete,ALL,,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,63
public,survey_identity_preferences,survey_identity_preferences_select,ALL,,supabase/migrations/20240101000014_survey_identity_system.sql,67
public,survey_identity_preferences,survey_identity_preferences_insert,ALL,,supabase/migrations/20240101000014_survey_identity_system.sql,73
public,survey_identity_preferences,survey_identity_preferences_update,ALL,,supabase/migrations/20240101000014_survey_identity_system.sql,78
public,survey_identity_preferences,survey_identity_preferences_delete,ALL,,supabase/migrations/20240101000014_survey_identity_system.sql,83
public,survey_identity_preferences,survey_identity_preferences_service_role_select,ALL,,supabase/migrations/20240101000014_survey_identity_system.sql,89
public,survey_identity_preferences,survey_identity_preferences_service_role_insert,ALL,,supabase/migrations/20240101000014_survey_identity_system.sql,94
