schema,table,rls_enabled,policy_count,file,line
public,survey_conditional_reveals,true,8,supabase/migrations/20240101000015_conditional_anonymity_engine.sql,7
public,hybrid_identity_sessions,true,8,supabase/migrations/20240101000021_hybrid_identity_sessions.sql,4
public,user_permissions,false,0,supabase/migrations/20240101000018_rbac_user_permissions.sql,39
public,survey_identity_preferences,true,8,supabase/migrations/20240101000014_survey_identity_system.sql,7
public,survey_identity_reveals,true,6,supabase/migrations/20240101000014_survey_identity_system.sql,26
public,system_settings,false,4,supabase/migrations/20240101000020_super_admin_bootstrap_and_settings.sql,89
public,surveys,true,5,supabase/migrations/20240101000016_add_missing_models.sql,11
public,survey_questions,true,4,supabase/migrations/20240101000016_add_missing_models.sql,44
public,survey_responses,true,6,supabase/migrations/20240101000016_add_missing_models.sql,77
public,notifications,true,6,supabase/migrations/20240101000016_add_missing_models.sql,131
public,objections,true,4,supabase/migrations/20240101000016_add_missing_models.sql,205
public,variance_alerts,true,4,supabase/migrations/20240101000016_add_missing_models.sql,248
public,feedback,true,1,supabase/migrations/20240101000016_add_missing_models.sql,287
public,objections,true,4,supabase/migrations/20240101000012_add_new_features.sql,7
public,announcements,true,1,supabase/migrations/20240101000012_add_new_features.sql,40
public,notifications,true,6,supabase/migrations/20240101000012_add_new_features.sql,59
public,surveys,true,5,supabase/migrations/20240101000012_add_new_features.sql,90
public,survey_questions,true,4,supabase/migrations/20240101000012_add_new_features.sql,103
public,survey_responses,true,6,supabase/migrations/20240101000012_add_new_features.sql,114
public,feedback,true,1,supabase/migrations/20240101000012_add_new_features.sql,132
public,ai_feedback,true,0,supabase/migrations/20240101000012_add_new_features.sql,170
public,cycles,false,0,supabase/migrations/20240101000000_initial_schema.sql,38
public,people,false,0,supabase/migrations/20240101000000_initial_schema.sql,53
public,weight_matrices,false,0,supabase/migrations/20240101000000_initial_schema.sql,68
public,assignments,false,0,supabase/migrations/20240101000000_initial_schema.sql,83
public,evaluations,false,0,supabase/migrations/20240101000000_initial_schema.sql,105
public,eom_cycles,false,0,supabase/migrations/20240101000000_initial_schema.sql,127
public,eom_voters,false,0,supabase/migrations/20240101000000_initial_schema.sql,143
public,eom_nominees,false,0,supabase/migrations/20240101000000_initial_schema.sql,154
public,eom_winners,false,0,supabase/migrations/20240101000000_initial_schema.sql,179
public,eom_rotation_rules,false,0,supabase/migrations/20240101000000_initial_schema.sql,194
public,audit_logs,false,0,supabase/migrations/20240101000000_initial_schema.sql,217
public,eom_feedback,false,0,supabase/migrations/20240101000013_fix_eom_categories_and_add_features.sql,415
public,email_notifications,false,4,supabase/migrations/20240101000013_fix_eom_categories_and_add_features.sql,506
