schema,view,security,file,line
public,mre_who_evaluates_who,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,16
public,mre_evaluation_summary,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,39
public,eom_participants,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,60
public,eom_nomination_summary,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,88
public,eom_winner_history,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,106
public,weighted_score_summary,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,126
public,recent_audit_logs,unknown,supabase/migrations/20240101000009_fix_security_definer_views_and_rls.sql,144
public,mre_who_evaluates_who,unknown,supabase/migrations/20240101000002_create_views.sql,9
public,mre_evaluation_summary,unknown,supabase/migrations/20240101000002_create_views.sql,32
public,eom_participants,unknown,supabase/migrations/20240101000002_create_views.sql,57
public,eom_nomination_summary,unknown,supabase/migrations/20240101000002_create_views.sql,84
public,eom_winner_history,unknown,supabase/migrations/20240101000002_create_views.sql,101
public,weighted_score_summary,unknown,supabase/migrations/20240101000002_create_views.sql,125
public,recent_audit_logs,unknown,supabase/migrations/20240101000002_create_views.sql,146
public,eom_diversity_tracking,unknown,supabase/migrations/20240101000013_fix_eom_categories_and_add_features.sql,390
public,eom_hall_of_fame,unknown,supabase/migrations/20240101000013_fix_eom_categories_and_add_features.sql,468
public,mre_who_evaluates_who,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,13
public,mre_evaluation_summary,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,36
public,eom_participants,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,58
public,eom_nomination_summary,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,86
public,eom_winner_history,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,104
public,weighted_score_summary,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,125
public,recent_audit_logs,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,144
public,eom_eligible_current,unknown,supabase/migrations/20240101000005_fix_security_issues.sql,166
