ui_route,api_method,api_path,ui_ref,call_ref
/eom/nominate,GET,/api/v2/cycles/current,frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:58
/eom/nominate,GET,/api/v2/eom/rotation-rules/eligible-nominees/${cycleId},frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:83
/eom/nominate,POST,/api/v2/eom/nominations/validate,frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:119
/eom/nominate,POST,/api/v2/eom/nominations/submit,frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:123
/eom/nominate,GET,/api/v2/eom/nominations/cycle/${cycleId},frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:202
/eom/nominate,POST,/api/v2/eom/vote,frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:214
/eom/nominate,POST,/api/v2/objections,frontend/src/App.jsx:82,frontend/src/components/eom/EOMNomination.jsx:241
/eom/vote,GET,/api/v2/cycles/current,frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:58
/eom/vote,GET,/api/v2/eom/rotation-rules/eligible-nominees/${cycleId},frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:83
/eom/vote,POST,/api/v2/eom/nominations/validate,frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:119
/eom/vote,POST,/api/v2/eom/nominations/submit,frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:123
/eom/vote,GET,/api/v2/eom/nominations/cycle/${cycleId},frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:202
/eom/vote,POST,/api/v2/eom/vote,frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:214
/eom/vote,POST,/api/v2/objections,frontend/src/App.jsx:83,frontend/src/components/eom/EOMNomination.jsx:241
/eom/feedback,POST,/api/v2/eom/feedback,frontend/src/App.jsx:86,frontend/src/components/eom/EOMFeedbackForm.jsx:14
/mre/evaluate,GET,/api/v2/cycles/current,frontend/src/App.jsx:87,frontend/src/components/mre/MREEvaluation.jsx:41
/mre/evaluate,GET,/api/v2/mre/assignments/${cycleId},frontend/src/App.jsx:87,frontend/src/components/mre/MREEvaluation.jsx:59
/mre/evaluate,POST,/api/v2/mre/evaluations/process,frontend/src/App.jsx:87,frontend/src/components/mre/MREEvaluation.jsx:67
/admin/cycles,GET,/api/v2/cycles,frontend/src/App.jsx:88,frontend/src/components/admin/CycleManagement.jsx:24
/admin/cycles,POST,/api/v2/cycles,frontend/src/App.jsx:88,frontend/src/components/admin/CycleManagement.jsx:37
/admin/cycles,PUT,/api/v2/cycles/${id},frontend/src/App.jsx:88,frontend/src/components/admin/CycleManagement.jsx:43
/admin/cycles,PUT,/api/v2/cycles/${id},frontend/src/App.jsx:88,frontend/src/components/admin/CycleManagement.jsx:88
/admin/staff,GET,/api/v2/cycles/current,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:27
/admin/staff,GET,/api/v2/staff/${email}/evaluation-status,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:39
/admin/staff,GET,/api/v2/people,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:51
/admin/staff,POST,/api/v2/staff/${email}/assign-evaluators,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:61
/admin/staff,PUT,/api/v2/staff/${email}/evaluators,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:95
/admin/staff,PUT,/api/v2/staff/${email}/evaluators,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:123
/admin/staff,PUT,/api/v2/staff/${email}/evaluators,frontend/src/App.jsx:89,frontend/src/components/admin/EvaluatorManagement.jsx:156
/admin/staff,GET,/api/v2/people,frontend/src/App.jsx:89,frontend/src/components/admin/StaffManagement.jsx:30
/admin/staff,PUT,/api/v2/people/${encodeURIComponent(email)},frontend/src/App.jsx:89,frontend/src/components/admin/StaffManagement.jsx:46
